affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,young,some_affairs,sampid
7,female,37.0,10.0,no,1,20,5,3,False,True,0
0,female,37.0,10.0,no,2,12,4,4,False,False,0
0,female,37.0,7.0,no,4,18,5,5,False,False,0
0,female,57.0,15.0,no,4,20,6,5,False,False,0
7,female,37.0,10.0,no,1,20,5,3,False,True,0
0,female,37.0,7.0,no,4,18,5,5,False,False,0
7,female,37.0,10.0,no,1,20,5,3,False,True,0
0,female,57.0,15.0,no,4,20,6,5,False,False,0
0,female,42.0,15.0,yes,5,14,5,4,False,False,0
0,female,52.0,15.0,yes,5,9,5,5,False,False,0
0,female,47.0,15.0,yes,4,12,2,3,False,False,0
0,female,42.0,15.0,yes,3,12,3,3,False,False,0
2,female,57.0,15.0,yes,1,18,5,4,False,True,0
0,female,47.0,15.0,yes,4,18,5,4,False,False,0
0,female,47.0,15.0,yes,3,17,6,5,False,False,0
1,female,37.0,15.0,yes,4,14,4,2,False,True,0
0,male,47.0,15.0,no,4,14,5,4,False,False,0
12,male,37.0,15.0,no,3,14,6,2,False,True,0
0,male,47.0,15.0,no,4,14,5,4,False,False,0
12,male,47.0,15.0,no,1,18,6,5,False,True,0
0,male,42.0,0.125,no,4,17,6,4,False,False,0
12,male,37.0,15.0,no,3,14,6,2,False,True,0
0,male,37.0,15.0,no,4,20,6,5,False,False,0
0,male,47.0,15.0,no,4,20,6,4,False,False,0
0,male,57.0,15.0,yes,4,17,5,5,False,False,0
0,male,57.0,15.0,yes,3,16,6,1,False,False,0
0,male,52.0,15.0,yes,5,18,6,3,False,False,0
0,male,42.0,10.0,yes,5,20,7,4,False,False,0
0,male,37.0,15.0,yes,5,20,4,5,False,False,0
0,male,42.0,15.0,yes,2,17,3,5,False,False,0
0,male,37.0,10.0,yes,2,18,6,2,False,False,0
12,male,37.0,10.0,yes,2,20,6,2,False,True,0
0,female,22.0,0.41700000000000004,no,5,14,4,5,True,False,0
2,female,22.0,7.0,no,4,14,4,3,True,True,0
0,female,22.0,1.5,no,2,16,1,4,True,False,0
0,female,22.0,1.5,no,2,18,5,5,True,False,0
0,female,27.0,4.0,no,2,17,4,5,True,False,0
0,female,22.0,1.5,no,2,16,5,5,True,False,0
0,female,22.0,1.5,no,3,16,5,5,True,False,0
12,female,22.0,4.0,no,3,12,3,4,True,True,0
0,female,27.0,4.0,yes,2,18,6,5,True,False,0
3,female,32.0,15.0,yes,4,12,3,2,True,True,0
0,female,32.0,10.0,yes,2,16,5,4,True,False,0
7,female,27.0,4.0,yes,3,18,5,4,True,True,0
0,female,27.0,4.0,yes,1,16,5,5,True,False,0
7,female,32.0,10.0,yes,2,18,5,4,True,True,0
0,female,32.0,10.0,yes,4,14,1,5,True,False,0
7,female,32.0,7.0,yes,2,17,6,4,True,True,0
1,male,27.0,4.0,no,2,14,4,5,True,True,0
0,male,27.0,1.5,no,5,20,5,2,True,False,0
0,male,22.0,1.5,no,4,16,5,4,True,False,0
0,male,27.0,7.0,no,2,20,6,5,True,False,0
3,male,22.0,1.5,no,2,12,3,3,True,True,0
0,male,27.0,0.125,no,3,20,6,5,True,False,0
0,male,27.0,0.41700000000000004,no,1,16,3,4,True,False,0
0,male,22.0,1.5,no,3,18,4,5,True,False,0
0,male,32.0,10.0,yes,4,20,6,4,True,False,0
2,male,32.0,4.0,yes,4,18,6,4,True,True,0
2,male,22.0,7.0,yes,3,18,6,2,True,True,0
0,male,32.0,10.0,yes,4,20,6,5,True,False,0
0,male,27.0,7.0,yes,2,20,6,2,True,False,0
0,male,27.0,1.5,yes,4,16,3,5,True,False,0
0,male,22.0,1.5,yes,1,14,3,5,True,False,0
7,male,27.0,10.0,yes,2,20,6,4,True,True,0
0,female,37.0,10.0,no,2,12,4,4,False,False,1
7,female,37.0,10.0,no,1,20,5,3,False,True,1
7,female,37.0,10.0,no,1,20,5,3,False,True,1
7,female,37.0,10.0,no,1,20,5,3,False,True,1
0,female,37.0,10.0,no,2,12,4,4,False,False,1
0,female,37.0,10.0,no,2,12,4,4,False,False,1
7,female,37.0,10.0,no,1,20,5,3,False,True,1
0,female,37.0,10.0,no,2,12,4,4,False,False,1
0,female,37.0,15.0,yes,2,14,1,1,False,False,1
0,female,52.0,15.0,yes,5,9,5,5,False,False,1
0,female,37.0,7.0,yes,3,14,4,4,False,False,1
0,female,37.0,15.0,yes,4,16,1,5,False,False,1
7,female,42.0,15.0,yes,2,14,3,2,False,True,1
12,female,42.0,15.0,yes,4,14,1,2,False,True,1
0,female,37.0,15.0,yes,2,14,1,3,False,False,1
0,female,42.0,15.0,yes,5,14,5,4,False,False,1
0,male,57.0,15.0,no,4,9,3,1,False,False,1
12,male,37.0,15.0,no,3,14,6,2,False,True,1
0,male,47.0,15.0,no,4,20,6,4,False,False,1
0,male,37.0,7.0,no,4,18,5,5,False,False,1
0,male,42.0,4.0,no,4,17,3,3,False,False,1
0,male,47.0,15.0,no,4,20,6,4,False,False,1
12,male,47.0,15.0,no,1,18,6,5,False,True,1
0,male,42.0,0.125,no,4,17,6,4,False,False,1
0,male,37.0,7.0,yes,4,20,6,3,False,False,1
0,male,47.0,15.0,yes,4,17,6,5,False,False,1
0,male,37.0,15.0,yes,2,20,7,2,False,False,1
12,male,37.0,15.0,yes,3,17,6,3,False,True,1
0,male,37.0,10.0,yes,2,18,6,4,False,False,1
0,male,57.0,15.0,yes,4,17,5,5,False,False,1
0,male,37.0,15.0,yes,4,14,4,3,False,False,1
0,male,37.0,10.0,yes,3,20,6,4,False,False,1
0,female,27.0,0.75,no,2,17,5,3,True,False,1
7,female,22.0,4.0,no,1,16,3,5,True,True,1
0,female,22.0,1.5,no,4,14,5,4,True,False,1
0,female,22.0,4.0,no,2,14,3,3,True,False,1
0,female,22.0,0.41700000000000004,no,4,14,5,5,True,False,1
0,female,22.0,0.41700000000000004,no,3,17,1,5,True,False,1
0,female,27.0,4.0,no,3,17,5,5,True,False,1
2,female,22.0,7.0,no,4,14,4,3,True,True,1
0,female,32.0,15.0,yes,4,12,3,4,True,False,1
1,female,22.0,1.5,yes,5,14,5,3,True,True,1
7,female,32.0,7.0,yes,2,17,6,4,True,True,1
1,female,32.0,10.0,yes,4,18,1,5,True,True,1
0,female,32.0,10.0,yes,2,14,5,5,True,False,1
7,female,32.0,7.0,yes,2,17,6,4,True,True,1
3,female,27.0,4.0,yes,3,17,1,5,True,True,1
0,female,32.0,4.0,yes,3,17,5,3,True,False,1
0,male,32.0,1.5,no,2,20,7,3,True,False,1
0,male,22.0,0.75,no,2,17,6,3,True,False,1
0,male,22.0,0.75,no,2,17,6,3,True,False,1
0,male,27.0,1.5,no,3,18,5,5,True,False,1
0,male,27.0,4.0,no,2,18,4,5,True,False,1
0,male,22.0,0.75,no,2,14,4,3,True,False,1
1,male,27.0,1.5,no,2,18,5,2,True,True,1
0,male,27.0,1.5,no,3,16,4,2,True,False,1
0,male,22.0,4.0,yes,4,16,5,5,True,False,1
0,male,32.0,10.0,yes,2,20,6,3,True,False,1
0,male,32.0,4.0,yes,5,14,3,5,True,False,1
0,male,32.0,10.0,yes,4,18,5,4,True,False,1
0,male,27.0,4.0,yes,4,14,5,3,True,False,1
0,male,22.0,4.0,yes,4,16,5,5,True,False,1
3,male,27.0,4.0,yes,2,18,7,2,True,True,1
1,male,22.0,1.5,yes,1,12,2,5,True,True,1
